altmetric_id,any_paper,max_confidence,total_links
2121326,True,high,6
2200816,True,high,3
3841945,True,high,5
3102397,True,high,3
2759767,True,high,11
2222254,True,high,14
2689714,True,medium,1
3888921,True,high,9
2794835,True,high,21
2097291,True,high,5
498754,True,high,20
2554656,True,high,16
2594900,True,high,3
3727819,True,high,15
2438497,True,high,12
30167189,True,high,5
2698865,True,high,4
2594490,True,high,29
2314919,True,high,5
2501715,True,high,1
1137092,True,high,45
2892065,True,high,4
2641533,True,high,9
1977268,True,high,151
4235830,True,high,12
2036301,True,high,8
2199660,True,high,1
3086292,True,high,4
2408874,True,high,29
3795349,True,high,22
2371906,True,high,3
3914893,False,none,2
3779252,True,high,2
3732069,True,high,22
3878011,True,high,2
2895278,True,high,89
2361321,True,high,3
3962692,True,high,14
2941648,True,medium,3
2311325,True,high,1
3769473,True,high,20
2784674,True,high,5
4281060,True,high,8
29186353,False,none,1
2604395,True,high,4
3778826,True,high,11
4264440,True,high,1
2388145,True,medium,1
2509271,True,high,8
2738670,True,high,7
2555715,True,high,6
2715494,True,high,9
1793663,True,high,6
2918814,True,high,23
2950376,True,high,16
2454571,True,high,6
1945484,True,high,17
2274051,True,high,23
2815384,True,high,2
2354681,True,high,1
2577896,True,high,5
2010280,True,high,6
2906196,True,high,16
2506234,True,high,11
101803794,True,high,28
2902852,True,high,1
4135254,True,high,13
2747055,True,high,19
2038205,True,high,79
140381854,True,high,1
2166547,True,high,3
3125901,True,high,1
2696001,False,none,3
2303536,True,high,1
2732716,True,high,4
2369189,True,high,15
249868,True,high,18
2581052,True,high,7
1493585,True,high,23
3740528,True,high,1
1843856,True,high,10
2500689,True,high,6
4038105,True,high,26
4213237,True,high,37
776312,True,high,6
2333329,True,high,170
3755798,True,high,3
3805800,True,high,4
4140106,False,none,1
2384016,True,high,1
101853068,True,high,16
610090,True,high,5
2427942,True,high,16
3933180,True,high,4
2480553,True,high,2
2968836,True,high,6
2357536,True,high,6
3077055,True,high,26
3082257,True,high,10
2633906,True,high,37
2324679,True,high,1
2087688,True,high,7
2997566,True,high,5
3739658,True,high,13
3780710,False,none,1
2389127,True,high,8
2543023,True,high,1
2703363,True,high,12
3811036,True,high,5
2963097,True,high,20
3092105,True,high,11
2315801,True,high,1
890763,True,high,4
2448320,True,high,2
2688399,True,high,11
3855228,True,high,18
3205699,True,high,2
1895004,True,low,2
2879155,True,high,16
3538089,True,high,60
2425546,True,high,21
3069465,True,high,8
2752410,True,high,15
3069816,True,high,4
1319252,True,high,12
2985410,True,high,14
2334117,True,high,5
2300212,True,high,8
2345015,True,high,6
2722417,True,high,16
2564282,True,high,3
2913308,True,high,5
2770716,True,high,30
2761224,True,high,2
2812335,True,high,6
2146046,True,high,14
2311503,True,high,37
42052382,True,high,5
3208329,True,high,1
3705378,True,high,11
2407966,True,high,6
2900817,True,high,10
2994727,True,high,18
1802949,True,high,6
2712559,True,high,24
2677730,True,high,6
2892720,True,high,6
2811391,True,high,3
2902572,True,high,3
2978426,True,high,3
2981718,False,none,1
2479825,True,high,6
2967535,True,high,1
2804849,True,high,7
3099692,True,high,7
2611082,True,high,5
387352,True,high,29
2546084,True,high,3
2528438,True,high,29
2280160,True,high,6
3746342,True,high,1
2761232,True,high,1
2670017,True,high,1
2827456,True,high,4
3711465,True,high,11
2585469,True,high,3
2866266,True,high,5
3750816,True,high,6
2592014,True,high,14
2612453,True,high,40
2427160,True,high,8
2703861,True,high,24
2941379,True,high,1
2510016,True,high,2
1633536,True,high,18
2329414,True,high,1
2801185,True,high,3
1102752,True,high,19
2422989,True,high,21
2303853,True,high,3
3044520,True,high,16
3036465,True,medium,1
2929150,True,medium,2
2734930,True,high,29
2351601,True,high,13
3058366,True,high,2
