weibo_id,any_paper,max_confidence,total_links,user_id,user_authentication,retweet_count,comment_count,like_count
0,True,high,1,3213294213.0,蓝V,0,0,0
1,True,high,1,2810904414.0,黄V,0,0,0
2,False,none,1,3702002507.0,普通用户,0,0,0
3,True,high,1,2034583177.0,蓝V,0,0,0
4,True,high,1,2810904414.0,黄V,0,0,0
5,True,high,1,6547188182.0,普通用户,0,0,0
6,True,high,1,5284329303.0,蓝V,0,0,0
7,True,high,1,5334350534.0,普通用户,0,0,0
8,True,high,1,3212809433.0,黄V,0,0,0
9,True,high,1,6890507718.0,蓝V,0,0,0
10,True,high,1,1870858943.0,蓝V,0,0,0
11,True,high,1,2152024140.0,黄V,0,0,0
12,True,medium,1,3659841663.0,普通用户,0,0,0
13,True,high,1,6890507718.0,蓝V,0,0,0
14,True,high,1,7472274415.0,普通用户,0,0,0
15,True,high,1,7463051298.0,普通用户,0,0,0
16,True,high,1,3941337445.0,普通用户,0,0,0
17,True,high,1,1469740544.0,蓝V,0,0,0
18,True,high,1,3941337445.0,普通用户,0,0,0
19,True,high,1,7463051298.0,普通用户,0,0,0
20,True,high,1,7463051298.0,普通用户,0,0,0
21,True,high,1,7472274415.0,普通用户,0,0,0
22,True,high,1,7472274415.0,普通用户,0,0,0
23,True,high,1,3941337445.0,普通用户,0,0,0
24,True,high,1,7463051298.0,普通用户,0,0,0
25,True,high,1,7472274415.0,普通用户,0,0,0
26,True,high,1,3941337445.0,普通用户,0,0,0
27,True,high,1,7463051298.0,普通用户,0,0,0
28,True,high,1,7463051298.0,普通用户,0,0,0
29,True,high,1,7463051298.0,普通用户,0,0,0
30,True,high,1,1870858943.0,蓝V,0,0,0
31,True,high,1,7463051298.0,普通用户,0,0,0
32,True,high,1,1870858943.0,蓝V,0,0,0
33,True,high,1,7472274415.0,普通用户,0,0,0
34,True,high,1,1870858943.0,蓝V,0,0,0
35,True,high,1,1870858943.0,蓝V,0,0,0
36,True,high,1,1870858943.0,蓝V,0,0,0
37,True,high,1,7463051298.0,普通用户,0,0,0
38,True,high,1,1870858943.0,蓝V,0,0,0
39,True,high,1,1870858943.0,蓝V,0,0,0
40,True,high,1,7463051298.0,普通用户,0,0,0
41,True,high,1,1870858943.0,蓝V,0,0,0
42,True,high,1,6890507718.0,蓝V,0,0,0
43,True,high,1,7463051298.0,普通用户,0,0,0
44,True,high,1,1870858943.0,蓝V,0,0,0
45,True,high,1,6890507718.0,蓝V,0,0,0
46,True,high,1,1894295570.0,蓝V,0,0,0
47,True,high,1,3941337445.0,普通用户,0,0,0
48,True,high,1,3941337445.0,普通用户,0,0,0
49,True,high,1,3659841663.0,普通用户,0,0,0
50,True,high,1,3941337445.0,普通用户,0,0,0
51,True,high,1,1870858943.0,蓝V,0,0,0
52,True,high,1,3659841663.0,普通用户,0,0,0
53,True,high,1,6890507718.0,蓝V,0,0,0
54,True,high,1,3941337445.0,普通用户,0,0,0
55,True,high,1,5976873363.0,普通用户,0,0,0
56,True,high,1,1729014640.0,蓝V,0,0,0
57,True,high,2,3710258141.0,金V,0,0,0
58,True,high,1,3941337445.0,普通用户,0,0,0
59,True,high,1,3941337445.0,普通用户,0,0,0
60,True,high,1,3710258141.0,金V,0,0,0
61,True,high,1,3941337445.0,普通用户,0,0,0
62,True,high,1,3941337445.0,普通用户,0,0,0
63,True,high,1,2794083144.0,蓝V,0,0,0
64,True,high,1,3941337445.0,普通用户,0,0,0
65,True,high,1,3941337445.0,普通用户,0,0,0
66,True,high,1,5976873363.0,普通用户,0,0,0
67,True,high,1,1729014640.0,蓝V,0,0,0
68,True,high,1,2092965653.0,蓝V,0,0,0
69,True,high,1,3941337445.0,普通用户,0,0,0
70,True,high,1,2427364747.0,蓝V,0,0,0
71,True,high,1,3941337445.0,普通用户,0,0,0
72,True,high,1,1729014640.0,蓝V,0,0,0
73,True,high,1,1729014640.0,蓝V,0,0,0
74,True,high,1,3941337445.0,普通用户,0,0,0
75,True,high,1,2653149452.0,普通用户,0,0,0
76,True,high,1,3941337445.0,普通用户,0,0,0
77,True,high,1,1729014640.0,蓝V,0,0,0
78,True,high,1,3941337445.0,普通用户,0,0,0
79,True,high,1,2130067184.0,蓝V,0,0,0
80,True,high,1,2794083144.0,蓝V,0,0,0
81,True,high,1,3941337445.0,普通用户,0,0,0
82,True,high,1,3941337445.0,普通用户,0,0,0
83,True,high,1,3941337445.0,普通用户,0,0,0
84,True,high,1,1729014640.0,蓝V,0,0,0
85,True,high,1,2427364747.0,蓝V,0,0,0
86,True,high,1,1729014640.0,蓝V,0,0,0
87,True,high,1,3941337445.0,普通用户,0,0,0
88,True,high,1,2427364747.0,蓝V,0,0,0
89,True,high,1,3941337445.0,普通用户,0,0,0
90,True,high,3,1729014640.0,蓝V,0,0,0
91,True,high,1,3941337445.0,普通用户,0,0,0
92,True,high,1,3941337445.0,普通用户,0,0,0
93,True,high,1,3941337445.0,普通用户,0,0,0
94,True,high,1,3941337445.0,普通用户,0,0,0
95,True,high,1,3941337445.0,普通用户,0,0,0
96,True,high,1,3941337445.0,普通用户,0,0,0
97,True,high,1,2427364747.0,蓝V,0,0,0
98,True,high,1,3941337445.0,普通用户,0,0,0
99,True,high,1,3941337445.0,普通用户,0,0,0
100,True,high,1,5633464636.0,蓝V,0,0,0
101,True,high,1,3941337445.0,普通用户,0,0,0
102,True,high,1,3941337445.0,普通用户,0,0,0
103,True,high,1,3941337445.0,普通用户,0,0,0
104,True,high,1,3848350712.0,蓝V,0,0,0
105,True,high,1,7368530310.0,蓝V,0,0,0
106,True,high,1,3941337445.0,普通用户,0,0,0
107,True,high,1,1642632622.0,蓝V,0,0,0
108,True,high,1,3941337445.0,普通用户,0,0,0
109,True,high,1,3941337445.0,普通用户,0,0,0
110,True,high,1,1810582730.0,黄V,0,0,0
111,True,high,1,3941337445.0,普通用户,0,0,0
112,True,high,1,1894295570.0,蓝V,0,0,0
113,True,high,1,3941337445.0,普通用户,0,0,0
114,True,high,1,3254679103.0,蓝V,0,0,0
115,True,high,1,3941337445.0,普通用户,0,0,0
116,True,high,1,3941337445.0,普通用户,0,0,0
117,True,high,1,3941337445.0,普通用户,0,0,0
118,True,high,2,3710258141.0,金V,0,0,0
119,True,high,1,3941337445.0,普通用户,0,0,0
120,True,high,1,3941337445.0,普通用户,0,0,0
121,True,high,1,3941337445.0,普通用户,0,0,0
122,True,high,1,3941337445.0,普通用户,0,0,0
123,True,high,1,1729014640.0,蓝V,0,0,0
124,True,high,1,2427364747.0,蓝V,0,0,0
125,True,high,1,3710258141.0,金V,0,0,0
126,True,high,1,1855567811.0,蓝V,0,0,0
127,True,high,1,3941337445.0,普通用户,0,0,0
128,True,high,1,3941337445.0,普通用户,0,0,0
129,True,high,1,2794083144.0,蓝V,0,0,0
130,True,high,1,3941337445.0,普通用户,0,0,0
131,True,high,1,2427364747.0,蓝V,0,0,0
132,True,high,1,3941337445.0,普通用户,0,0,0
133,True,high,1,3941337445.0,普通用户,0,0,0
134,True,high,1,1729014640.0,蓝V,0,0,0
135,True,high,1,3941337445.0,普通用户,0,0,0
136,True,high,1,3941337445.0,普通用户,0,0,0
137,True,high,1,3941337445.0,普通用户,0,0,0
138,True,high,1,1855567811.0,蓝V,0,0,0
139,True,high,1,1729014640.0,蓝V,0,0,0
140,True,high,1,6890507718.0,蓝V,0,0,0
141,True,high,1,2427364747.0,蓝V,0,0,0
142,True,high,1,3941337445.0,普通用户,0,0,0
143,True,high,1,3941337445.0,普通用户,0,0,0
144,True,high,1,3941337445.0,普通用户,0,0,0
145,True,high,1,3941337445.0,普通用户,0,0,0
146,True,high,1,3941337445.0,普通用户,0,0,0
147,True,high,1,3941337445.0,普通用户,0,0,0
148,True,high,1,6890507718.0,蓝V,0,0,0
149,True,high,1,5976873363.0,普通用户,0,0,0
150,True,high,1,3941337445.0,普通用户,0,0,0
151,True,high,1,3710258141.0,金V,0,0,0
152,True,high,1,3941337445.0,普通用户,0,0,0
153,True,high,1,3941337445.0,普通用户,0,0,0
154,True,high,1,3941337445.0,普通用户,0,0,0
155,True,high,1,3941337445.0,普通用户,0,0,0
156,True,high,1,2427364747.0,蓝V,0,0,0
157,True,high,1,3941337445.0,普通用户,0,0,0
158,True,high,1,3941337445.0,普通用户,0,0,0
159,True,high,1,3941337445.0,普通用户,0,0,0
160,True,high,2,5341251100.0,蓝V,0,0,0
161,True,high,3,3710258141.0,金V,0,0,0
162,True,high,1,3941337445.0,普通用户,0,0,0
163,True,high,1,1784264335.0,普通用户,0,0,0
164,True,high,1,3710258141.0,金V,0,0,0
165,True,high,1,5866398242.0,普通用户,0,0,0
166,True,high,1,3941337445.0,普通用户,0,0,0
167,True,high,1,3941337445.0,普通用户,0,0,0
168,True,high,1,3941337445.0,普通用户,0,0,0
169,True,high,1,5341251100.0,蓝V,0,0,0
170,True,high,1,3941337445.0,普通用户,0,0,0
171,True,high,1,3941337445.0,普通用户,0,0,0
172,True,high,1,3941337445.0,普通用户,0,0,0
173,True,high,1,3710258141.0,金V,0,0,0
174,True,high,1,3941337445.0,普通用户,0,0,0
175,True,high,1,3941337445.0,普通用户,0,0,0
176,True,high,1,3941337445.0,普通用户,0,0,0
177,True,high,1,3941337445.0,普通用户,0,0,0
178,True,high,1,3941337445.0,普通用户,0,0,0
179,True,high,1,3941337445.0,普通用户,0,0,0
180,True,high,1,3941337445.0,普通用户,0,0,0
181,True,high,1,2427364747.0,蓝V,0,0,0
182,True,high,1,1729014640.0,蓝V,0,0,0
183,True,high,1,3941337445.0,普通用户,0,0,0
184,True,high,1,3941337445.0,普通用户,0,0,0
185,True,high,1,2427364747.0,蓝V,0,0,0
186,True,high,1,3941337445.0,普通用户,0,0,0
187,True,high,1,3941337445.0,普通用户,0,0,0
188,True,high,5,2131656731.0,蓝V,0,0,0
189,True,high,1,1729014640.0,蓝V,0,0,0
190,True,high,1,2076116525.0,蓝V,0,0,0
191,True,high,1,5484777364.0,普通用户,0,0,0
192,True,high,1,3941337445.0,普通用户,0,0,0
193,True,high,1,5484777364.0,普通用户,0,0,0
194,True,high,1,3941337445.0,普通用户,0,0,0
195,True,high,1,3941337445.0,普通用户,0,0,0
196,True,high,1,3941337445.0,普通用户,0,0,0
197,True,high,1,3941337445.0,普通用户,0,0,0
198,True,high,1,3941337445.0,普通用户,0,0,0
199,True,high,1,3941337445.0,普通用户,0,0,0
200,True,high,1,3941337445.0,普通用户,0,0,0
201,True,high,1,3941337445.0,普通用户,0,0,0
202,True,high,1,2794083144.0,蓝V,0,0,0
203,True,high,1,3941337445.0,普通用户,0,0,0
204,True,high,2,2427364747.0,蓝V,0,0,0
205,True,high,1,3941337445.0,普通用户,0,0,0
206,True,high,1,2427364747.0,蓝V,0,0,0
207,True,high,1,3941337445.0,普通用户,0,0,0
208,True,high,1,3941337445.0,普通用户,0,0,0
209,True,high,1,3941337445.0,普通用户,0,0,0
210,True,high,1,7523186814.0,蓝V,0,0,0
211,True,high,1,3941337445.0,普通用户,0,0,0
212,True,high,1,3941337445.0,普通用户,0,0,0
213,True,high,1,2427364747.0,蓝V,0,0,0
214,True,high,1,1870858943.0,蓝V,0,0,0
215,True,high,1,3941337445.0,普通用户,0,0,0
216,True,high,1,3941337445.0,普通用户,0,0,0
217,True,high,1,3941337445.0,普通用户,0,0,0
218,True,high,1,3941337445.0,普通用户,0,0,0
219,True,high,1,1870858943.0,蓝V,0,0,0
220,True,high,1,3941337445.0,普通用户,0,0,0
221,True,high,1,3941337445.0,普通用户,0,0,0
222,True,high,1,3941337445.0,普通用户,0,0,0
223,True,high,1,3941337445.0,普通用户,0,0,0
224,True,high,1,3941337445.0,普通用户,0,0,0
225,True,high,1,3941337445.0,普通用户,0,0,0
226,True,high,1,3941337445.0,普通用户,0,0,0
227,True,high,1,3941337445.0,普通用户,0,0,0
228,True,high,1,1465107390.0,普通用户,0,0,0
229,True,high,1,3941337445.0,普通用户,0,0,0
230,True,high,1,1727858283.0,金V,0,0,0
231,True,high,1,1870858943.0,蓝V,0,0,0
232,True,high,1,3941337445.0,普通用户,0,0,0
233,True,high,1,1699526244.0,普通用户,0,0,0
234,True,high,1,2427364747.0,蓝V,0,0,0
235,True,high,1,1729014640.0,蓝V,0,0,0
236,True,high,1,7523186814.0,蓝V,0,0,0
237,True,high,1,1870858943.0,蓝V,0,0,0
238,True,high,1,7523186814.0,蓝V,0,0,0
239,True,high,1,1918726583.0,普通用户,0,0,0
240,True,high,1,2427364747.0,蓝V,0,0,0
241,True,high,1,3941337445.0,普通用户,0,0,0
242,True,high,1,1729014640.0,蓝V,0,0,0
243,True,high,1,2076116525.0,蓝V,0,0,0
244,True,high,1,3941337445.0,普通用户,0,0,0
245,True,high,1,3941337445.0,普通用户,0,0,0
246,True,high,1,1729014640.0,蓝V,0,0,0
247,True,high,1,1729014640.0,蓝V,0,0,0
248,True,high,1,3941337445.0,普通用户,0,0,0
249,True,high,1,3941337445.0,普通用户,0,0,0
250,True,high,1,7523186814.0,蓝V,0,0,0
251,True,high,1,7523186814.0,蓝V,0,0,0
252,True,high,1,7523186814.0,蓝V,0,0,0
253,True,high,1,3710258141.0,金V,0,0,0
254,True,high,1,5866398242.0,普通用户,0,0,0
255,True,high,1,3710258141.0,金V,0,0,0
256,True,high,1,3941337445.0,普通用户,0,0,0
257,True,high,1,3941337445.0,普通用户,0,0,0
258,True,high,1,7523186814.0,蓝V,0,0,0
259,True,high,1,7523186814.0,蓝V,0,0,0
260,True,high,1,7523186814.0,蓝V,0,0,0
261,True,high,4,5866398242.0,普通用户,0,0,0
262,True,high,1,3710258141.0,金V,0,0,0
263,True,high,1,3941337445.0,普通用户,0,0,0
264,True,high,1,3941337445.0,普通用户,0,0,0
265,True,high,1,3941337445.0,普通用户,0,0,0
266,True,high,1,3941337445.0,普通用户,0,0,0
267,True,high,1,3941337445.0,普通用户,0,0,0
268,True,high,1,3941337445.0,普通用户,0,0,0
269,True,high,1,3941337445.0,普通用户,0,0,0
270,True,high,1,3941337445.0,普通用户,0,0,0
271,True,high,1,7731301380.0,红V,0,0,0
272,True,high,1,3941337445.0,普通用户,0,0,0
273,True,high,1,6890507718.0,蓝V,0,0,0
274,True,high,1,5329434101.0,蓝V,0,0,0
275,True,high,1,3941337445.0,普通用户,0,0,0
276,True,high,1,6433304918.0,蓝V,0,0,0
277,True,high,1,3941337445.0,普通用户,0,0,0
278,True,high,1,3941337445.0,普通用户,0,0,0
279,True,high,1,3941337445.0,普通用户,0,0,0
280,True,high,1,3941337445.0,普通用户,0,0,0
281,True,high,1,3941337445.0,普通用户,0,0,0
282,True,high,1,3941337445.0,普通用户,0,0,0
283,True,high,1,3941337445.0,普通用户,0,0,0
284,True,high,1,3941337445.0,普通用户,0,0,0
285,True,high,1,6433304918.0,蓝V,0,0,0
286,True,high,1,3941337445.0,普通用户,0,0,0
287,True,high,1,3941337445.0,普通用户,0,0,0
288,True,high,1,6890507718.0,蓝V,0,0,0
289,True,high,1,3941337445.0,普通用户,0,0,0
290,True,high,1,3941337445.0,普通用户,0,0,0
291,True,high,1,3941337445.0,普通用户,0,0,0
292,True,high,1,3971578774.0,蓝V,0,0,0
293,True,high,1,3941337445.0,普通用户,0,0,0
294,True,high,1,3941337445.0,普通用户,0,0,0
295,True,high,1,6890507718.0,蓝V,0,0,0
296,True,high,1,3941337445.0,普通用户,0,0,0
297,True,high,4,2092965653.0,蓝V,0,0,0
298,True,high,1,3941337445.0,普通用户,0,0,0
299,True,high,1,3941337445.0,普通用户,0,0,0
300,True,high,1,3941337445.0,普通用户,0,0,0
301,True,high,1,3941337445.0,普通用户,0,0,0
302,True,high,1,3941337445.0,普通用户,0,0,0
303,True,high,1,3941337445.0,普通用户,0,0,0
304,True,high,1,1402400261.0,金V,0,0,0
305,True,high,1,5976873363.0,普通用户,0,0,0
306,True,high,1,3941337445.0,普通用户,0,0,0
307,True,high,1,3941337445.0,普通用户,0,0,0
308,True,high,1,3941337445.0,普通用户,0,0,0
309,True,high,1,3941337445.0,普通用户,0,0,0
310,True,high,1,3941337445.0,普通用户,0,0,0
311,True,high,1,3941337445.0,普通用户,0,0,0
312,True,high,1,3941337445.0,普通用户,0,0,0
313,True,high,1,3941337445.0,普通用户,0,0,0
314,True,high,1,3941337445.0,普通用户,0,0,0
315,True,high,1,7523186814.0,蓝V,0,0,0
316,True,high,1,7523186814.0,蓝V,0,0,0
